symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
AUDUSD,2021-01-03 18:00:00,0.76995,0.77127,0.76982,0.77009,0.7693,0.77008,0.76899,0.76994,0.769625,0.770675,0.769405,0.770015
AUDUSD,2021-01-03 19:00:00,0.7712,0.77152,0.76937,0.76995,0.77105,0.77136,0.76854,0.7693,0.771125,0.77144,0.768955,0.769625
AUDUSD,2021-01-03 20:00:00,0.76876,0.77153,0.76824,0.7712,0.76861,0.77134,0.76808,0.77105,0.768685,0.771435,0.76816,0.771125
AUDUSD,2021-01-03 21:00:00,0.77176,0.7718,0.76876,0.76876,0.7716,0.77164,0.76861,0.76861,0.77168,0.77172,0.768685,0.768685
AUDUSD,2021-01-03 22:00:00,0.77151,0.77222,0.77111,0.77176,0.77136,0.77207,0.77096,0.7716,0.771435,0.772145,0.771035,0.77168
AUDUSD,2021-01-03 23:00:00,0.77178,0.77198,0.77131,0.77151,0.77162,0.77183,0.77118,0.77136,0.7717,0.771905,0.771245,0.771435
AUDUSD,2021-01-04 00:00:00,0.77032,0.7718,0.77002,0.77178,0.77017,0.77167,0.76988,0.77162,0.770245,0.771735,0.76995,0.7717
AUDUSD,2021-01-04 01:00:00,0.77079,0.77097,0.76908,0.77032,0.77064,0.77084,0.76893,0.77017,0.770715,0.770905,0.769005,0.770245
AUDUSD,2021-01-04 02:00:00,0.77154,0.77166,0.77067,0.77079,0.77139,0.77152,0.7705,0.77064,0.771465,0.77159,0.770585,0.770715
AUDUSD,2021-01-04 03:00:00,0.77242,0.77349,0.77148,0.77154,0.77228,0.77331,0.77133,0.77139,0.77235,0.7734,0.771405,0.771465
AUDUSD,2021-01-04 04:00:00,0.77371,0.77371,0.77203,0.77242,0.77356,0.77358,0.77188,0.77228,0.773635,0.773645,0.771955,0.77235
AUDUSD,2021-01-04 05:00:00,0.77335,0.77409,0.77296,0.77371,0.77321,0.77392,0.77282,0.77356,0.77328,0.774005,0.77289,0.773635
AUDUSD,2021-01-04 06:00:00,0.77343,0.77415,0.77324,0.77335,0.7733,0.77401,0.77309,0.77321,0.773365,0.77408,0.773165,0.77328
AUDUSD,2021-01-04 07:00:00,0.77236,0.77385,0.77234,0.77343,0.77219,0.77371,0.77216,0.7733,0.772275,0.77378,0.77225,0.773365
AUDUSD,2021-01-04 08:00:00,0.77164,0.77251,0.77147,0.77236,0.7715,0.77236,0.77134,0.77219,0.77157,0.772435,0.771405,0.772275
AUDUSD,2021-01-04 09:00:00,0.7719,0.77274,0.7714,0.77164,0.77175,0.7726,0.77126,0.7715,0.771825,0.77267,0.77133,0.77157
AUDUSD,2021-01-04 10:00:00,0.77063,0.77233,0.77047,0.7719,0.77048,0.77218,0.77032,0.77175,0.770555,0.772255,0.770395,0.771825
AUDUSD,2021-01-04 11:00:00,0.76854,0.77087,0.76811,0.77063,0.76838,0.77071,0.76797,0.77048,0.76846,0.77079,0.76804,0.770555
AUDUSD,2021-01-04 12:00:00,0.7656,0.76854,0.76555,0.76854,0.76542,0.76838,0.76533,0.76838,0.76551,0.76846,0.76544,0.76846
AUDUSD,2021-01-04 13:00:00,0.76614,0.76619,0.76434,0.7656,0.76602,0.76605,0.76417,0.76542,0.76608,0.76612,0.764255,0.76551
AUDUSD,2021-01-04 14:00:00,0.7671,0.7671,0.7659,0.76614,0.76696,0.76696,0.76576,0.76602,0.76703,0.76703,0.76583,0.76608
AUDUSD,2021-01-04 15:00:00,0.76716,0.76719,0.76635,0.7671,0.76702,0.76705,0.76622,0.76696,0.76709,0.76712,0.766285,0.76703
AUDUSD,2021-01-04 16:00:00,0.76649,0.76718,0.76558,0.76716,0.76634,0.76702,0.76544,0.76702,0.766415,0.7671,0.76551,0.76709
AUDUSD,2021-01-04 17:00:00,0.76683,0.76683,0.76603,0.76649,0.76665,0.76665,0.76585,0.76634,0.76674,0.76674,0.76594,0.766415
AUDUSD,2021-01-04 18:00:00,0.76711,0.768,0.76653,0.76683,0.76665,0.76711,0.76574,0.76665,0.76688,0.767555,0.766135,0.76674
AUDUSD,2021-01-04 19:00:00,0.76706,0.76717,0.76629,0.76711,0.76689,0.76693,0.76614,0.76665,0.766975,0.76705,0.766215,0.76688
AUDUSD,2021-01-04 20:00:00,0.76717,0.7676,0.76617,0.76706,0.76704,0.76746,0.76601,0.76689,0.767105,0.76753,0.76609,0.766975
AUDUSD,2021-01-04 21:00:00,0.7676,0.76844,0.76691,0.76717,0.76749,0.76828,0.76676,0.76704,0.767545,0.76836,0.766835,0.767105
AUDUSD,2021-01-04 22:00:00,0.76979,0.76992,0.7676,0.7676,0.76964,0.76978,0.76748,0.76749,0.769715,0.76985,0.76754,0.767545
AUDUSD,2021-01-04 23:00:00,0.77001,0.77101,0.76964,0.76979,0.76986,0.77085,0.7695,0.76964,0.769935,0.77093,0.76957,0.769715
AUDUSD,2021-01-05 00:00:00,0.76988,0.77025,0.76914,0.77001,0.76974,0.7701,0.769,0.76986,0.76981,0.770175,0.76907,0.769935
AUDUSD,2021-01-05 01:00:00,0.77115,0.77141,0.76988,0.76988,0.77099,0.77127,0.76974,0.76974,0.77107,0.77134,0.76981,0.76981
AUDUSD,2021-01-05 02:00:00,0.7716,0.77181,0.77032,0.77115,0.77144,0.77167,0.77019,0.77099,0.77152,0.77174,0.770255,0.77107
AUDUSD,2021-01-05 03:00:00,0.77036,0.77251,0.77007,0.7716,0.77022,0.77235,0.76993,0.77144,0.77029,0.77243,0.77,0.77152
AUDUSD,2021-01-05 04:00:00,0.77139,0.77201,0.77036,0.77036,0.77127,0.77185,0.77022,0.77022,0.77133,0.77193,0.77029,0.77029
