symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
EURUSD,2021-01-03 18:00:00,1.22371,1.22874,1.22351,1.22874,1.22311,1.22861,1.22279,1.22861,1.22341,1.228675,1.22315,1.228675
EURUSD,2021-01-03 19:00:00,1.22508,1.22538,1.22327,1.22371,1.22491,1.22521,1.22296,1.22311,1.224995,1.225295,1.223115,1.22341
EURUSD,2021-01-03 20:00:00,1.22415,1.22508,1.22395,1.22508,1.22401,1.22492,1.2238,1.22491,1.22408,1.225,1.223875,1.224995
EURUSD,2021-01-03 21:00:00,1.22534,1.22566,1.22408,1.22415,1.2252,1.2255,1.22393,1.22401,1.22527,1.22558,1.224005,1.22408
EURUSD,2021-01-03 22:00:00,1.22549,1.22592,1.22504,1.22534,1.22534,1.2258,1.22488,1.2252,1.225415,1.22586,1.22496,1.22527
EURUSD,2021-01-03 23:00:00,1.22557,1.22585,1.22494,1.22549,1.22544,1.22571,1.22478,1.22534,1.225505,1.22578,1.22486,1.225415
EURUSD,2021-01-04 00:00:00,1.22496,1.22557,1.22444,1.22557,1.22484,1.22544,1.22429,1.22544,1.2249,1.225505,1.224365,1.225505
EURUSD,2021-01-04 01:00:00,1.22561,1.22601,1.22422,1.22496,1.22545,1.22587,1.22405,1.22484,1.22553,1.22594,1.224135,1.2249
EURUSD,2021-01-04 02:00:00,1.2257,1.22585,1.22427,1.22561,1.22556,1.22572,1.22415,1.22545,1.22563,1.225785,1.22421,1.22553
EURUSD,2021-01-04 03:00:00,1.22646,1.22698,1.22549,1.2257,1.22632,1.22685,1.22533,1.22556,1.22639,1.226915,1.22541,1.22563
EURUSD,2021-01-04 04:00:00,1.2282,1.22876,1.22627,1.22646,1.22807,1.22855,1.22609,1.22632,1.228135,1.228655,1.22618,1.22639
EURUSD,2021-01-04 05:00:00,1.2294,1.23013,1.22797,1.2282,1.22926,1.23,1.22782,1.22807,1.22933,1.230065,1.227895,1.228135
EURUSD,2021-01-04 06:00:00,1.22931,1.23006,1.22905,1.2294,1.22917,1.22992,1.2289,1.22926,1.22924,1.22999,1.228975,1.22933
EURUSD,2021-01-04 07:00:00,1.22938,1.23004,1.22921,1.22931,1.22926,1.22991,1.22906,1.22917,1.22932,1.229975,1.229135,1.22924
EURUSD,2021-01-04 08:00:00,1.23042,1.2307,1.22878,1.22938,1.23028,1.23055,1.22864,1.22926,1.23035,1.230625,1.22871,1.22932
EURUSD,2021-01-04 09:00:00,1.22997,1.23058,1.2287,1.23042,1.22982,1.23045,1.22856,1.23028,1.229895,1.230515,1.22863,1.23035
EURUSD,2021-01-04 10:00:00,1.229,1.23108,1.22843,1.22997,1.22885,1.23089,1.2283,1.22982,1.228925,1.230985,1.228365,1.229895
EURUSD,2021-01-04 11:00:00,1.22724,1.22916,1.22614,1.229,1.22712,1.22902,1.22595,1.22885,1.22718,1.22909,1.226045,1.228925
EURUSD,2021-01-04 12:00:00,1.22544,1.22782,1.22533,1.22724,1.22532,1.22767,1.22519,1.22712,1.22538,1.227745,1.22526,1.22718
EURUSD,2021-01-04 13:00:00,1.22537,1.2262,1.22508,1.22544,1.22522,1.22607,1.22492,1.22532,1.225295,1.226135,1.225,1.22538
EURUSD,2021-01-04 14:00:00,1.22517,1.22575,1.22433,1.22537,1.22505,1.2256,1.22417,1.22522,1.22511,1.225675,1.22425,1.225295
EURUSD,2021-01-04 15:00:00,1.22529,1.22533,1.22447,1.22517,1.22514,1.22519,1.22433,1.22505,1.225215,1.22526,1.2244,1.22511
EURUSD,2021-01-04 16:00:00,1.22499,1.2253,1.22421,1.22529,1.22485,1.22518,1.22408,1.22514,1.22492,1.22524,1.224145,1.225215
EURUSD,2021-01-04 17:00:00,1.22529,1.22536,1.22425,1.22499,1.22514,1.22518,1.22411,1.22485,1.225215,1.22527,1.22418,1.22492
EURUSD,2021-01-04 18:00:00,1.22515,1.2256,1.22491,1.22529,1.22496,1.22514,1.22437,1.22514,1.225055,1.22537,1.22464,1.225215
EURUSD,2021-01-04 19:00:00,1.22534,1.22544,1.22479,1.22515,1.2252,1.22527,1.22463,1.22496,1.22527,1.225355,1.22471,1.225055
EURUSD,2021-01-04 20:00:00,1.22565,1.22578,1.2248,1.22534,1.22552,1.22564,1.22465,1.2252,1.225585,1.22571,1.224725,1.22527
EURUSD,2021-01-04 21:00:00,1.22578,1.22639,1.22558,1.22565,1.22563,1.22623,1.22544,1.22552,1.225705,1.22631,1.22551,1.225585
EURUSD,2021-01-04 22:00:00,1.22712,1.22737,1.22577,1.22578,1.22698,1.22723,1.22563,1.22563,1.22705,1.2273,1.2257,1.225705
EURUSD,2021-01-04 23:00:00,1.22734,1.22777,1.22683,1.22712,1.22722,1.22764,1.2267,1.22698,1.22728,1.227705,1.226765,1.22705
EURUSD,2021-01-05 00:00:00,1.22698,1.22734,1.22668,1.22734,1.22684,1.22722,1.22655,1.22722,1.22691,1.22728,1.226615,1.22728
EURUSD,2021-01-05 01:00:00,1.2273,1.22743,1.2268,1.22698,1.22714,1.22729,1.22665,1.22684,1.22722,1.22736,1.226725,1.22691
EURUSD,2021-01-05 02:00:00,1.22706,1.22751,1.22674,1.2273,1.22689,1.22738,1.22659,1.22714,1.226975,1.227445,1.226665,1.22722
