time,USA/FED_INTEREST_RATE_DECISION.EODHDEconomicEvents
2021-01-20,0.25
2021-01-21,0.25
2021-01-22,0.25
2021-01-23,0.25
2021-01-24,0.25
2021-01-25,0.25
2021-01-26,0.25
2021-01-27,0.25
2021-03-09,0.25
2021-03-10,0.25
2021-03-11,0.25
2021-03-12,0.25
2021-03-13,0.25
2021-03-14,0.25
2021-03-15,0.25
2021-03-16,0.25
2021-04-20,0.25
2021-04-21,0.25
2021-04-22,0.25
2021-04-23,0.25
2021-04-24,0.25
2021-04-25,0.25
2021-04-26,0.25
2021-04-27,0.25
2021-06-08,0.25
2021-06-09,0.25
2021-06-10,0.25
2021-06-11,0.25
2021-06-12,0.25
2021-06-13,0.25
2021-06-14,0.25
2021-06-15,0.25
2021-07-20,0.25
2021-07-21,0.25
2021-07-22,0.25
2021-07-23,0.25
2021-07-24,0.25
2021-07-25,0.25
2021-07-26,0.25
2021-07-27,0.25
2021-09-14,0.25
2021-09-15,0.25
2021-09-16,0.25
2021-09-17,0.25
2021-09-18,0.25
2021-09-19,0.25
2021-09-20,0.25
2021-09-21,0.25
2021-10-26,0.25
2021-10-27,0.25
2021-10-28,0.25
2021-10-29,0.25
2021-10-30,0.25
2021-10-31,0.25
2021-11-01,0.25
2021-11-02,0.25
2021-12-08,0.25
2021-12-09,0.25
2021-12-10,0.25
2021-12-11,0.25
2021-12-12,0.25
2021-12-13,0.25
2021-12-14,0.25
2021-12-15,0.25
2022-01-19,0.25
2022-01-20,0.25
2022-01-21,0.25
2022-01-22,0.25
2022-01-23,0.25
2022-01-24,0.25
2022-01-25,0.25
2022-01-26,0.25
2022-03-08,0.25
2022-03-09,0.25
2022-03-10,0.25
2022-03-11,0.25
2022-03-12,0.25
2022-03-13,0.25
2022-03-14,0.25
2022-03-15,0.25
2022-04-26,0.5
2022-04-27,0.5
2022-04-28,0.5
2022-04-29,0.5
2022-04-30,0.5
2022-05-01,0.5
2022-05-02,0.5
2022-05-03,0.5
2022-06-07,1.0
2022-06-08,1.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-11,1.0
2022-06-12,1.0
2022-06-13,1.0
2022-06-14,1.0
2022-07-19,1.75
2022-07-20,1.75
2022-07-21,1.75
2022-07-22,1.75
2022-07-23,1.75
2022-07-24,1.75
2022-07-25,1.75
2022-07-26,1.75
2022-09-13,2.5
2022-09-14,2.5
2022-09-15,2.5
2022-09-16,2.5
2022-09-17,2.5
2022-09-18,2.5
2022-09-19,2.5
2022-09-20,2.5
2022-10-25,3.25
2022-10-26,3.25
2022-10-27,3.25
2022-10-28,3.25
2022-10-29,3.25
2022-10-30,3.25
2022-10-31,3.25
2022-11-01,3.25
2022-12-06,4.0
2022-12-07,4.0
2022-12-08,4.0
2022-12-09,4.0
2022-12-10,4.0
2022-12-11,4.0
2022-12-12,4.0
2022-12-13,4.0
2023-01-24,4.5
2023-01-25,4.5
2023-01-26,4.5
2023-01-27,4.5
2023-01-28,4.5
2023-01-29,4.5
2023-01-30,4.5
2023-01-31,4.5
2023-03-14,4.75
2023-03-15,4.75
2023-03-16,4.75
2023-03-17,4.75
2023-03-18,4.75
2023-03-19,4.75
2023-03-20,4.75
2023-03-21,4.75
2023-04-25,5.0
2023-04-26,5.0
2023-04-27,5.0
2023-04-28,5.0
2023-04-29,5.0
2023-04-30,5.0
2023-05-01,5.0
2023-05-02,5.0
2023-06-06,5.25
2023-06-07,5.25
2023-06-08,5.25
2023-06-09,5.25
2023-06-10,5.25
2023-06-11,5.25
2023-06-12,5.25
2023-06-13,5.25
2023-07-18,5.25
2023-07-19,5.25
2023-07-20,5.25
2023-07-21,5.25
2023-07-22,5.25
2023-07-23,5.25
2023-07-24,5.25
2023-07-25,5.25
2023-09-12,5.5
2023-09-13,5.5
2023-09-14,5.5
2023-09-15,5.5
2023-09-16,5.5
2023-09-17,5.5
2023-09-18,5.5
2023-09-19,5.5
2023-10-24,5.5
2023-10-25,5.5
2023-10-26,5.5
2023-10-27,5.5
2023-10-28,5.5
2023-10-29,5.5
2023-10-30,5.5
2023-10-31,5.5
2023-12-05,5.5
2023-12-06,5.5
2023-12-07,5.5
2023-12-08,5.5
2023-12-09,5.5
2023-12-10,5.5
2023-12-11,5.5
2023-12-12,5.5
2024-01-23,5.5
2024-01-24,5.5
2024-01-25,5.5
2024-01-26,5.5
2024-01-27,5.5
2024-01-28,5.5
2024-01-29,5.5
2024-01-30,5.5
2024-03-12,5.5
2024-03-13,5.5
2024-03-14,5.5
2024-03-15,5.5
2024-03-16,5.5
2024-03-17,5.5
2024-03-18,5.5
2024-03-19,5.5
2024-04-23,5.5
2024-04-24,5.5
2024-04-25,5.5
2024-04-26,5.5
2024-04-27,5.5
2024-04-28,5.5
2024-04-29,5.5
2024-04-30,5.5
2024-06-04,5.5
2024-06-05,5.5
2024-06-06,5.5
2024-06-07,5.5
2024-06-08,5.5
2024-06-09,5.5
2024-06-10,5.5
2024-06-11,5.5
2024-07-23,5.5
2024-07-24,5.5
2024-07-25,5.5
2024-07-26,5.5
2024-07-27,5.5
2024-07-28,5.5
2024-07-29,5.5
2024-07-30,5.5
2024-09-10,5.5
2024-09-11,5.5
2024-09-12,5.5
2024-09-13,5.5
