symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
GBPUSD,2022-01-02 18:00:00,1.35407,1.35422,1.35349,1.35386,1.35257,1.35272,1.35199,1.35236,1.35332,1.35347,1.35274,1.35311
GBPUSD,2022-01-02 19:00:00,1.35227,1.35421,1.35215,1.35407,1.35206,1.35327,1.35193,1.35257,1.352165,1.35374,1.35204,1.35332
GBPUSD,2022-01-02 20:00:00,1.35184,1.35267,1.35184,1.35227,1.35162,1.35246,1.35162,1.35206,1.35173,1.352565,1.35173,1.352165
GBPUSD,2022-01-02 21:00:00,1.35189,1.35307,1.35165,1.35184,1.35167,1.35284,1.35143,1.35162,1.35178,1.352955,1.35154,1.35173
GBPUSD,2022-01-02 22:00:00,1.35054,1.35189,1.35048,1.35189,1.35033,1.35167,1.35029,1.35167,1.350435,1.35178,1.350385,1.35178
GBPUSD,2022-01-02 23:00:00,1.35003,1.35079,1.34963,1.35054,1.34987,1.35057,1.34944,1.35033,1.34995,1.35068,1.349535,1.350435
GBPUSD,2022-01-03 00:00:00,1.34999,1.35069,1.34965,1.35003,1.34978,1.35048,1.34942,1.34987,1.349885,1.350585,1.349535,1.34995
GBPUSD,2022-01-03 01:00:00,1.35001,1.35021,1.34965,1.34999,1.34978,1.35001,1.34938,1.34978,1.349895,1.35011,1.349515,1.349885
GBPUSD,2022-01-03 02:00:00,1.35067,1.35093,1.34989,1.35001,1.35048,1.35071,1.34969,1.34978,1.350575,1.35082,1.34979,1.349895
GBPUSD,2022-01-03 03:00:00,1.35069,1.35081,1.34977,1.35067,1.35049,1.3506,1.34956,1.35048,1.35059,1.350705,1.349665,1.350575
GBPUSD,2022-01-03 04:00:00,1.35234,1.35246,1.35044,1.35069,1.35219,1.35225,1.35024,1.35049,1.352265,1.352355,1.35034,1.35059
GBPUSD,2022-01-03 05:00:00,1.35183,1.35293,1.35143,1.35234,1.35164,1.35273,1.35123,1.35219,1.351735,1.35283,1.35133,1.352265
GBPUSD,2022-01-03 06:00:00,1.35122,1.35256,1.35112,1.35183,1.35105,1.35237,1.35093,1.35164,1.351135,1.352465,1.351025,1.351735
