time,USA/NON_FARM_PAYROLLS.EODHDEconomicEvents
2021-01-02,336.0
2021-01-03,336.0
2021-01-04,336.0
2021-01-05,336.0
2021-01-06,336.0
2021-01-07,336.0
2021-01-28,-227.0
2021-01-29,-227.0
2021-01-30,-227.0
2021-01-31,-227.0
2021-02-01,-227.0
2021-02-02,-227.0
2021-02-03,-227.0
2021-02-04,-227.0
2021-02-25,166.0
2021-02-26,166.0
2021-02-27,166.0
2021-02-28,166.0
2021-03-01,166.0
2021-03-02,166.0
2021-03-03,166.0
2021-03-04,166.0
2021-03-25,468.0
2021-03-26,468.0
2021-03-27,468.0
2021-03-28,468.0
2021-03-29,468.0
2021-03-30,468.0
2021-03-31,468.0
2021-04-01,468.0
2021-04-29,770.0
2021-04-30,770.0
2021-05-01,770.0
2021-05-02,770.0
2021-05-03,770.0
2021-05-04,770.0
2021-05-05,770.0
2021-05-06,770.0
2021-05-27,278.0
2021-05-28,278.0
2021-05-29,278.0
2021-05-30,278.0
2021-05-31,278.0
2021-06-01,278.0
2021-06-02,278.0
2021-06-03,278.0
2021-06-24,583.0
2021-06-25,583.0
2021-06-26,583.0
2021-06-27,583.0
2021-06-28,583.0
2021-06-29,583.0
2021-06-30,583.0
2021-07-01,583.0
2021-07-29,938.0
2021-07-30,938.0
2021-07-31,938.0
2021-08-01,938.0
2021-08-02,938.0
2021-08-03,938.0
2021-08-04,938.0
2021-08-05,938.0
2021-08-26,1053.0
2021-08-27,1053.0
2021-08-28,1053.0
2021-08-29,1053.0
2021-08-30,1053.0
2021-08-31,1053.0
2021-09-01,1053.0
2021-09-02,1053.0
2021-09-30,366.0
2021-10-01,366.0
2021-10-02,366.0
2021-10-03,366.0
2021-10-04,366.0
2021-10-05,366.0
2021-10-06,366.0
2021-10-07,366.0
2021-10-28,312.0
2021-10-29,312.0
2021-10-30,312.0
2021-10-31,312.0
2021-11-01,312.0
2021-11-02,312.0
2021-11-03,312.0
2021-11-04,312.0
2021-11-25,546.0
2021-11-26,546.0
2021-11-27,546.0
2021-11-28,546.0
2021-11-29,546.0
2021-11-30,546.0
2021-12-01,546.0
2021-12-02,546.0
2021-12-30,249.0
2021-12-31,249.0
2022-01-01,249.0
2022-01-02,249.0
2022-01-03,249.0
2022-01-04,249.0
