time,USA/RETAIL_SALES.EODHDEconomicEvents
2021-01-07,3.7
2021-01-08,3.7
2021-01-09,3.7
2021-01-10,3.7
2021-01-11,3.7
2021-01-12,3.7
2021-01-13,3.7
2021-01-14,3.7
2021-02-09,2.53
2021-02-10,2.53
2021-02-11,2.53
2021-02-12,2.53
2021-02-13,2.53
2021-02-14,2.53
2021-02-15,2.53
2021-02-16,2.53
2021-03-08,7.6
2021-03-09,7.6
2021-03-10,7.6
2021-03-11,7.6
2021-03-12,7.6
2021-03-13,7.6
2021-03-14,7.6
2021-03-15,7.6
2021-04-07,-2.7
2021-04-08,-2.7
2021-04-09,-2.7
2021-04-10,-2.7
2021-04-11,-2.7
2021-04-12,-2.7
2021-04-13,-2.7
2021-04-14,-2.7
2021-05-06,9.8
2021-05-07,9.8
2021-05-08,9.8
2021-05-09,9.8
2021-05-10,9.8
2021-05-11,9.8
2021-05-12,9.8
2021-05-13,9.8
2021-06-07,53.4
2021-06-08,53.4
2021-06-09,53.4
2021-06-10,53.4
2021-06-11,53.4
2021-06-12,53.4
2021-06-13,53.4
2021-06-14,53.4
2021-07-08,27.6
2021-07-09,27.6
2021-07-10,27.6
2021-07-11,27.6
2021-07-12,27.6
2021-07-13,27.6
2021-07-14,27.6
2021-07-15,27.6
2021-08-09,0.7
2021-08-10,0.7
2021-08-11,0.7
2021-08-12,0.7
2021-08-13,0.7
2021-08-14,0.7
2021-08-15,0.7
2021-08-16,0.7
2021-09-08,15.1
2021-09-09,15.1
2021-09-10,15.1
2021-09-11,15.1
2021-09-12,15.1
2021-09-13,15.1
2021-09-14,15.1
2021-09-15,15.1
2021-10-07,0.9
2021-10-08,0.9
2021-10-09,0.9
2021-10-10,0.9
2021-10-11,0.9
2021-10-12,0.9
2021-10-13,0.9
2021-10-14,0.9
2021-11-08,14.3
2021-11-09,14.3
2021-11-10,14.3
2021-11-11,14.3
2021-11-12,14.3
2021-11-13,14.3
2021-11-14,14.3
2021-11-15,14.3
2021-12-07,16.3
2021-12-08,16.3
2021-12-09,16.3
2021-12-10,16.3
2021-12-11,16.3
2021-12-12,16.3
2021-12-13,16.3
2021-12-14,16.3
2022-01-06,0.2
2022-01-07,0.2
2022-01-08,0.2
2022-01-09,0.2
2022-01-10,0.2
2022-01-11,0.2
2022-01-12,0.2
2022-01-13,0.2
2022-02-08,16.7
2022-02-09,16.7
2022-02-10,16.7
2022-02-11,16.7
2022-02-12,16.7
2022-02-13,16.7
2022-02-14,16.7
2022-02-15,16.7
2022-03-08,14.0
2022-03-09,14.0
2022-03-10,14.0
2022-03-11,14.0
2022-03-12,14.0
2022-03-13,14.0
2022-03-14,14.0
2022-03-15,14.0
2022-04-06,0.8
