symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
USDCAD,2021-01-03 18:00:00,1.27393,1.27476,1.27308,1.27476,1.27293,1.2745,1.27208,1.2745,1.27343,1.27463,1.27258,1.27463
USDCAD,2021-01-03 19:00:00,1.27251,1.274,1.27227,1.27393,1.2723,1.27309,1.27203,1.27293,1.272405,1.273545,1.27215,1.27343
USDCAD,2021-01-03 20:00:00,1.27341,1.27376,1.27226,1.27251,1.27318,1.27353,1.27202,1.2723,1.273295,1.273645,1.27214,1.272405
USDCAD,2021-01-03 21:00:00,1.27085,1.27341,1.2707,1.27341,1.27065,1.27318,1.27048,1.27318,1.27075,1.273295,1.27059,1.273295
USDCAD,2021-01-03 22:00:00,1.27022,1.27099,1.27018,1.27085,1.27004,1.2708,1.26994,1.27065,1.27013,1.270895,1.27006,1.27075
USDCAD,2021-01-03 23:00:00,1.26998,1.27025,1.26963,1.27022,1.2698,1.27006,1.26945,1.27004,1.26989,1.270155,1.26954,1.27013
USDCAD,2021-01-04 00:00:00,1.27051,1.27075,1.26979,1.26998,1.27034,1.27056,1.26957,1.2698,1.270425,1.270655,1.26968,1.26989
USDCAD,2021-01-04 01:00:00,1.27084,1.27155,1.2704,1.27051,1.27063,1.27136,1.27022,1.27034,1.270735,1.271455,1.27031,1.270425
USDCAD,2021-01-04 02:00:00,1.27013,1.27121,1.27006,1.27084,1.26996,1.27099,1.26985,1.27063,1.270045,1.2711,1.269955,1.270735
USDCAD,2021-01-04 03:00:00,1.26964,1.27017,1.26861,1.27013,1.26945,1.26997,1.26844,1.26996,1.269545,1.27007,1.268525,1.270045
USDCAD,2021-01-04 04:00:00,1.26863,1.27062,1.26857,1.26964,1.26848,1.27043,1.26838,1.26945,1.268555,1.270525,1.268475,1.269545
USDCAD,2021-01-04 05:00:00,1.26754,1.26915,1.26744,1.26863,1.26738,1.26897,1.26727,1.26848,1.26746,1.26906,1.267355,1.268555
USDCAD,2021-01-04 06:00:00,1.26788,1.26803,1.2666,1.26754,1.26772,1.26785,1.26645,1.26738,1.2678,1.26794,1.266525,1.26746
USDCAD,2021-01-04 07:00:00,1.26883,1.26915,1.26722,1.26788,1.26864,1.26898,1.26704,1.26772,1.268735,1.269065,1.26713,1.2678
USDCAD,2021-01-04 08:00:00,1.26984,1.27044,1.26843,1.26883,1.26967,1.27029,1.26826,1.26864,1.269755,1.270365,1.268345,1.268735
USDCAD,2021-01-04 09:00:00,1.27006,1.27148,1.26943,1.26984,1.2699,1.27133,1.26924,1.26967,1.26998,1.271405,1.269335,1.269755
USDCAD,2021-01-04 10:00:00,1.27087,1.27207,1.26966,1.27006,1.27068,1.27189,1.26946,1.2699,1.270775,1.27198,1.26956,1.26998
