time,USA/UNEMPLOYMENT_RATE.EODHDEconomicEvents
2021-01-02,6.7
2021-01-03,6.7
2021-01-04,6.7
2021-01-05,6.7
2021-01-06,6.7
2021-01-07,6.7
2021-01-28,6.7
2021-01-29,6.7
2021-01-30,6.7
2021-01-31,6.7
2021-02-01,6.7
2021-02-02,6.7
2021-02-03,6.7
2021-02-04,6.7
2021-02-25,6.3
2021-02-26,6.3
2021-02-27,6.3
2021-02-28,6.3
2021-03-01,6.3
2021-03-02,6.3
2021-03-03,6.3
2021-03-04,6.3
2021-03-25,6.2
2021-03-26,6.2
2021-03-27,6.2
2021-03-28,6.2
2021-03-29,6.2
2021-03-30,6.2
2021-03-31,6.2
2021-04-01,6.2
2021-04-29,6.0
2021-04-30,6.0
2021-05-01,6.0
2021-05-02,6.0
2021-05-03,6.0
2021-05-04,6.0
2021-05-05,6.0
2021-05-06,6.0
2021-05-27,6.1
2021-05-28,6.1
2021-05-29,6.1
2021-05-30,6.1
2021-05-31,6.1
2021-06-01,6.1
2021-06-02,6.1
2021-06-03,6.1
2021-06-24,5.8
2021-06-25,5.8
2021-06-26,5.8
2021-06-27,5.8
2021-06-28,5.8
2021-06-29,5.8
2021-06-30,5.8
2021-07-01,5.8
2021-07-29,5.9
2021-07-30,5.9
2021-07-31,5.9
2021-08-01,5.9
2021-08-02,5.9
2021-08-03,5.9
2021-08-04,5.9
2021-08-05,5.9
2021-08-26,5.4
2021-08-27,5.4
2021-08-28,5.4
2021-08-29,5.4
2021-08-30,5.4
2021-08-31,5.4
2021-09-01,5.4
2021-09-02,5.4
2021-09-30,5.2
2021-10-01,5.2
2021-10-02,5.2
2021-10-03,5.2
2021-10-04,5.2
2021-10-05,5.2
2021-10-06,5.2
2021-10-07,5.2
2021-10-28,4.8
2021-10-29,4.8
2021-10-30,4.8
2021-10-31,4.8
2021-11-01,4.8
2021-11-02,4.8
2021-11-03,4.8
2021-11-04,4.8
2021-11-25,4.6
2021-11-26,4.6
2021-11-27,4.6
2021-11-28,4.6
2021-11-29,4.6
2021-11-30,4.6
2021-12-01,4.6
2021-12-02,4.6
2021-12-30,4.2
2021-12-31,4.2
2022-01-01,4.2
2022-01-02,4.2
2022-01-03,4.2
2022-01-04,4.2
2022-01-05,4.2
2022-01-06,4.2
2022-01-27,3.9
2022-01-28,3.9
2022-01-29,3.9
2022-01-30,3.9
2022-01-31,3.9
2022-02-01,3.9
2022-02-02,3.9
2022-02-03,3.9
2022-02-24,4.0
2022-02-25,4.0
2022-02-26,4.0
2022-02-27,4.0
2022-02-28,4.0
2022-03-01,4.0
2022-03-02,4.0
2022-03-03,4.0
2022-03-24,3.8
2022-03-25,3.8
2022-03-26,3.8
2022-03-27,3.8
2022-03-28,3.8
2022-03-29,3.8
2022-03-30,3.8
2022-03-31,3.8
2022-04-28,3.6
2022-04-29,3.6
2022-04-30,3.6
2022-05-01,3.6
2022-05-02,3.6
2022-05-03,3.6
2022-05-04,3.6
2022-05-05,3.6
2022-05-26,3.6
2022-05-27,3.6
2022-05-28,3.6
2022-05-29,3.6
2022-05-30,3.6
2022-05-31,3.6
2022-06-01,3.6
2022-06-02,3.6
2022-06-30,3.6
2022-07-01,3.6
2022-07-02,3.6
2022-07-03,3.6
2022-07-04,3.6
2022-07-05,3.6
2022-07-06,3.6
2022-07-07,3.6
2022-07-28,3.6
2022-07-29,3.6
2022-07-30,3.6
2022-07-31,3.6
2022-08-01,3.6
2022-08-02,3.6
2022-08-03,3.6
2022-08-04,3.6
2022-08-25,3.5
2022-08-26,3.5
2022-08-27,3.5
2022-08-28,3.5
2022-08-29,3.5
2022-08-30,3.5
2022-08-31,3.5
2022-09-01,3.5
2022-09-29,3.7
2022-09-30,3.7
2022-10-01,3.7
2022-10-02,3.7
2022-10-03,3.7
2022-10-04,3.7
2022-10-05,3.7
2022-10-06,3.7
2022-10-27,3.5
2022-10-28,3.5
2022-10-29,3.5
2022-10-30,3.5
2022-10-31,3.5
2022-11-01,3.5
2022-11-02,3.5
2022-11-03,3.5
2022-11-24,3.7
2022-11-25,3.7
2022-11-26,3.7
2022-11-27,3.7
2022-11-28,3.7
